Record Length,2500,Points,-1.2640001E-3,-0.0E-3,,Record Length,2500,Points,-1.2640001E-3,530.000030994E-3,
Sample Interval,2.0000000E-6,s,-1.2620001E-3,-1.4000000E-3,,Sample Interval,2.0000000E-6,s,-1.2620001E-3,530.000030994E-3,
Trigger Point,632.000040927,Samples,-1.2600000E-3,-1.1999999E-3,,Trigger Point,632.000040927,Samples,-1.2600000E-3,527.999997139E-3,
,,,-1.2580000E-3,-0.0E-3,,,,,-1.2580000E-3,527.999997139E-3,
,,,-1.2560001E-3,-0.0E-3,,,,,-1.2560001E-3,527.999997139E-3,
,,,-1.2540001E-3,-0.0E-3,,,,,-1.2540001E-3,527.999997139E-3,
Source,CH1,,-1.2520001E-3,-799.999979790E-6,,Source,CH2,,-1.2520001E-3,527.999997139E-3,
Vertical Units,Volts,,-1.2500001E-3,-0.0E-3,,Vertical Units,Volts,,-1.2500001E-3,527.999997139E-3,
Vertical Scale,4.99999987E-3,,-1.2480001E-3,-1.1999999E-3,,Vertical Scale,50.00000237E-3,,-1.2480001E-3,526.000022888E-3,
Vertical Offset,0,,-1.2460001E-3,-1.4000000E-3,,Vertical Offset,0,,-1.2460001E-3,526.000022888E-3,
Horizontal Units,s,,-1.2440000E-3,-599.999970291E-6,,Horizontal Units,s,,-1.2440000E-3,526.000022888E-3,
Horizontal Scale,499.999998738E-6,,-1.2420000E-3,-0.0E-3,,Horizontal Scale,499.999998738E-6,,-1.2420000E-3,526.000022888E-3,
Pt Fmt,Y,,-1.2400001E-3,-399.99998990E-6,,Pt Fmt,Y,,-1.2400001E-3,526.000022888E-3,
Yzero,-2.6800000,,-1.2380001E-3,-1.4000000E-3,,Yzero,-9.920000000,,-1.2380001E-3,526.000022888E-3,
Probe Atten,1.000000,,-1.2360001E-3,-1.1999999E-3,,Probe Atten,1.000000,,-1.2360001E-3,526.000022888E-3,
,,,-1.2340001E-3,0.0,,,,,-1.2340001E-3,526.000022888E-3,
Note,TDS 1002B - 4:22:38 PM   3/26/2018,,-1.2320001E-3,-399.99998990E-6,,Note,TDS 1002B - 4:22:38 PM   3/26/2018,,-1.2320001E-3,526.000022888E-3,
,,,-1.2300001E-3,-0.0E-3,,,,,-1.2300001E-3,526.000022888E-3,
,,,-1.2280000E-3,-399.99998990E-6,,,,,-1.2280000E-3,524.000048637E-3,
,,,-1.2260000E-3,-399.99998990E-6,,,,,-1.2260000E-3,524.000048637E-3,
,,,-1.2240001E-3,-199.99999495E-6,,,,,-1.2240001E-3,524.000048637E-3,
,,,-1.2220001E-3,-599.999970291E-6,,,,,-1.2220001E-3,524.000048637E-3,
,,,-1.2200001E-3,-199.99999495E-6,,,,,-1.2200001E-3,524.000048637E-3,
,,,-1.2180001E-3,-199.99999495E-6,,,,,-1.2180001E-3,522.000014782E-3,
,,,-1.2160001E-3,-399.99998990E-6,,,,,-1.2160001E-3,522.000014782E-3,
,,,-1.2140000E-3,0.0,,,,,-1.2140000E-3,522.000014782E-3,
,,,-1.2120000E-3,-199.99999495E-6,,,,,-1.2120000E-3,522.000014782E-3,
,,,-1.2100001E-3,0.0E-3,,,,,-1.2100001E-3,526.000022888E-3,
,,,-1.2080001E-3,1.4000000E-3,,,,,-1.2080001E-3,522.000014782E-3,
,,,-1.2060001E-3,599.999970291E-6,,,,,-1.2060001E-3,520.000040531E-3,
,,,-1.2040001E-3,0.0E-3,,,,,-1.2040001E-3,522.000014782E-3,
