Record Length,2500,Points,1.0788001E-3,-4.39999998E-3,,Record Length,2500,Points,1.0788001E-3,736.000061035E-3,
Sample Interval,39.99999976E-9,s,1.0788401E-3,-4.39999998E-3,,Sample Interval,39.99999976E-9,s,1.0788401E-3,736.000061035E-3,
Trigger Point,-26.97000308E3,Samples,1.0788800E-3,-4.60000010E-3,,Trigger Point,-26.97000308E3,Samples,1.0788800E-3,736.000061035E-3,
,,,1.0789201E-3,-4.79999976E-3,,,,,1.0789201E-3,736.000061035E-3,
,,,1.0789600E-3,-4.60000010E-3,,,,,1.0789600E-3,736.000061035E-3,
,,,1.0790001E-3,-4.99999989E-3,,,,,1.0790001E-3,744.000017643E-3,
Source,CH1,,1.0790401E-3,-4.39999998E-3,,Source,CH2,,1.0790401E-3,728.000044823E-3,
Vertical Units,Volts,,1.0790800E-3,-4.39999998E-3,,Vertical Units,Volts,,1.0790800E-3,736.000061035E-3,
Vertical Scale,4.99999987E-3,,1.0791201E-3,-4.19999985E-3,,Vertical Scale,200.00000950E-3,,1.0791201E-3,736.000061035E-3,
Vertical Offset,0,,1.0791600E-3,-4.19999985E-3,,Vertical Offset,0,,1.0791600E-3,728.000044823E-3,
Horizontal Units,s,,1.0792001E-3,-4.39999998E-3,,Horizontal Units,s,,1.0792001E-3,736.000061035E-3,
Horizontal Scale,9.999999939E-6,,1.0792401E-3,-4.79999976E-3,,Horizontal Scale,9.999999939E-6,,1.0792401E-3,736.000061035E-3,
Pt Fmt,Y,,1.0792800E-3,-4.79999976E-3,,Pt Fmt,Y,,1.0792800E-3,736.000061035E-3,
Yzero,-1.4000000,,1.0793201E-3,-4.19999985E-3,,Yzero,-2.88000000,,1.0793201E-3,736.000061035E-3,
Probe Atten,1.000000,,1.0793600E-3,-4.79999976E-3,,Probe Atten,1.000000,,1.0793600E-3,736.000061035E-3,
,,,1.0794001E-3,-4.39999998E-3,,,,,1.0794001E-3,736.000061035E-3,
Note,TDS 1002B - 4:36:21 PM   3/26/2018,,1.0794401E-3,-4.60000010E-3,,Note,TDS 1002B - 4:36:21 PM   3/26/2018,,1.0794401E-3,736.000061035E-3,
,,,1.0794800E-3,-4.19999985E-3,,,,,1.0794800E-3,736.000061035E-3,
,,,1.0795201E-3,-4.79999976E-3,,,,,1.0795201E-3,736.000061035E-3,
,,,1.0795600E-3,-4.39999998E-3,,,,,1.0795600E-3,736.000061035E-3,
,,,1.0796001E-3,-4.39999998E-3,,,,,1.0796001E-3,744.000017643E-3,
,,,1.0796401E-3,-4.19999985E-3,,,,,1.0796401E-3,736.000061035E-3,
,,,1.0796800E-3,-3.79999983E-3,,,,,1.0796800E-3,736.000061035E-3,
,,,1.0797201E-3,-3.79999983E-3,,,,,1.0797201E-3,736.000061035E-3,
,,,1.0797600E-3,-4.39999998E-3,,,,,1.0797600E-3,736.000061035E-3,
,,,1.0798001E-3,-4.79999976E-3,,,,,1.0798001E-3,736.000061035E-3,
,,,1.0798401E-3,-4.60000010E-3,,,,,1.0798401E-3,728.000044823E-3,
,,,1.0798801E-3,-3.79999983E-3,,,,,1.0798801E-3,736.000061035E-3,
,,,1.0799201E-3,-4.19999985E-3,,,,,1.0799201E-3,736.000061035E-3,
,,,1.0799600E-3,-4.60000010E-3,,,,,1.0799600E-3,736.000061035E-3,
,,,1.0800001E-3,-4.19999985E-3,,,,,1.0800001E-3,744.000017643E-3,
,,,1.0800401E-3,-4.39999998E-3,,,,,1.0800401E-3,728.000044823E-3,
,,,1.0800801E-3,-4.60000010E-3,,,,,1.0800801E-3,728.000044823E-3,
,,,1.0801201E-3,-4.19999985E-3,,,,,1.0801201E-3,736.000061035E-3,
,,,1.0801600E-3,-3.99999972E-3,,,,,1.0801600E-3,736.000061035E-3,
,,,1.0802001E-3,-4.99999989E-3,,,,,1.0802001E-3,736.000061035E-3,
,,,1.0802401E-3,-4.39999998E-3,,,,,1.0802401E-3,736.000061035E-3,
,,,1.0802801E-3,-4.39999998E-3,,,,,1.0802801E-3,728.000044823E-3,
,,,1.0803201E-3,-4.39999998E-3,,,,,1.0803201E-3,736.000061035E-3,
,,,1.0803600E-3,-3.79999983E-3,,,,,1.0803600E-3,736.000061035E-3,
,,,1.0804001E-3,-4.39999998E-3,,,,,1.0804001E-3,736.000061035E-3,
,,,1.0804400E-3,-4.19999985E-3,,,,,1.0804400E-3,736.000061035E-3,
,,,1.0804801E-3,-4.19999985E-3,,,,,1.0804801E-3,736.000061035E-3,
,,,1.0805201E-3,-4.19999985E-3,,,,,1.0805201E-3,728.000044823E-3,
,,,1.0805600E-3,-4.60000010E-3,,,,,1.0805600E-3,736.000061035E-3,
,,,1.0806001E-3,-4.60000010E-3,,,,,1.0806001E-3,736.000061035E-3,
,,,1.0806400E-3,-4.79999976E-3,,,,,1.0806400E-3,736.000061035E-3,
,,,1.0806801E-3,-4.39999998E-3,,,,,1.0806801E-3,728.000044823E-3,
,,,1.0807201E-3,-5.39999967E-3,,,,,1.0807201E-3,728.000044823E-3,
,,,1.0807600E-3,-4.39999998E-3,,,,,1.0807600E-3,736.000061035E-3,
,,,1.0808001E-3,-3.99999972E-3,,,,,1.0808001E-3,728.000044823E-3,
,,,1.0808400E-3,-4.79999976E-3,,,,,1.0808400E-3,728.000044823E-3,
,,,1.0808801E-3,-3.79999983E-3,,,,,1.0808801E-3,728.000044823E-3,
,,,1.0809201E-3,-4.19999985E-3,,,,,1.0809201E-3,736.000061035E-3,
,,,1.0809600E-3,-4.19999985E-3,,,,,1.0809600E-3,728.000044823E-3,
,,,1.0810001E-3,-4.39999998E-3,,,,,1.0810001E-3,728.000044823E-3,
,,,1.0810400E-3,-4.60000010E-3,,,,,1.0810400E-3,736.000061035E-3,
,,,1.0810801E-3,-4.19999985E-3,,,,,1.0810801E-3,736.000061035E-3,
,,,1.0811201E-3,-4.79999976E-3,,,,,1.0811201E-3,736.000061035E-3,
,,,1.0811600E-3,-5.20000001E-3,,,,,1.0811600E-3,736.000061035E-3,
,,,1.0812001E-3,-4.60000010E-3,,,,,1.0812001E-3,736.000061035E-3,
,,,1.0812400E-3,-4.60000010E-3,,,,,1.0812400E-3,728.000044823E-3,
